site,colony_id,lat,lon,ed50,clonal_group,dominant_sym
hauru,Apul-101,-17.4984816648066,-149.915867848322,36.5172314644839,2,A
hauru,Apul-102,-17.5003057345748,-149.91674493067,37.1827893009361,3,A
hauru,Apul-103,-17.4986177869141,-149.916122406721,36.2998225429487,4,A
hauru,Apul-104,-17.4999843724072,-149.916872251779,36.4573852652967,5,A
hauru,Apul-105,-17.498501194641,-149.91620211862,37.0981895991572,2,D
hauru,Apul-109,-17.4991756025702,-149.915721919388,37.2115469574771,9,D
hauru,Apul-111,-17.4979011341929,-149.915735833347,36.893426677838,2,A
hauru,Apul-112,-17.5000873859972,-149.917803229764,36.1755127583431,3,D
hauru,Apul-113,NA,NA,36.4920757945943,12,D
hauru,Apul-114,-17.4986973311752,-149.916630433872,36.5321106215085,13,A
hauru,Apul-115,-17.4980051536113,-149.915883103386,36.379846877618,2,A
hauru,Apul-116,-17.4992484413087,-149.915922833607,37.4398047475084,14,D
hauru,Apul-118,NA,NA,37.1939534611194,9,D
hauru,Apul-119,-17.4989129975438,-149.916130034253,37.0384437005236,2,D
hauru,Apul-120,-17.5004714448005,-149.917195625603,37.2880403245718,17,A
hauru,Apul-127,-17.4997649341822,-149.917671214789,35.7394732525347,17,A
hauru,Apul-130,-17.4989704973996,-149.916410576552,36.4219492540781,2,D
hauru,Apul-88,-17.4988192040473,-149.916177224368,37.1265849968147,2,D
hauru,Apul-93,-17.5005182996392,-149.917373573408,37.0962917700465,3,D
hauru,Apul-96,-17.4989104829729,-149.915863405913,37.2804417788933,159,D
hauru,Apul-97,-17.4998476635665,-149.917428055778,36.273155425192,17,A
hauru,Apul-98,-17.4989699944854,-149.916372355074,36.8349924326759,2,D
hauru,Apul-99,NA,NA,36.355316288233396,2,A
