"file","column","unit","description"
"metadata.csv","species","NA","Coral species"
"metadata.csv","thicket","NA","Pre-genotype-analysis thicket/genet label"
"metadata.csv","id","NA","Coral fragment ID"
"metadata.csv","sample","NA","Sample purpose: gene, phys, or photo"
"metadata.csv","wound","yes/no","Wound treatment"
"metadata.csv","tank","NA","Tank number"
"metadata.csv","treatment","C","Temperature treatment"
"metadata.csv","biopsy_date","date","Biopsy date"
"metadata.csv","biopsy_notes","NA","Free-text biopsy notes"
"metadata.csv","biopsy_day","day","Destructive sampling day"
"metadata.csv","biopsy_segment","NA","Subsample segment label"
"metadata.csv","box","NA","Shipping/storage box"
"metadata.csv","Collected in liquid nitrogen?","yes/no","Whether sample was collected into liquid nitrogen"
"metadata.csv","In DNA/RNA shield?","date or flag","DNA/RNA shield preservation status"
"Box_list.csv","Box","NA","Box identifier"
"Box_list.csv","Project","NA","Project label"
"Box_list.csv","Sample description (biopsy day and segment)","NA","Contents summary"
"Box_list.csv","Sample storage","NA","Storage/preservation condition"
"Box_list.csv","Number of samples","count","Samples in listed row"
"Box_list.csv","Total number per box","count","Total samples in box"
"Tube_Labeling.csv","project","NA","Tube label project prefix"
"Tube_Labeling.csv","tag","NA","Tube label tag"
"Tube_Labeling.csv","option","NA","Label option"
"Tube_Labeling.csv","description","NA","Label meaning"

