"source_group","source_title","drive_id","source_type","modified_utc","drive_url","local_path","local_artifacts","import_status","pipeline_role","analysis_script","characterization_status","notes"
"drive_root","17. LTH_expression_by_temperature_2025","1sXfnHN-vmSBuwMEfERiYOWDeKRmjFWJP","folder","","https://drive.google.com/drive/folders/1sXfnHN-vmSBuwMEfERiYOWDeKRmjFWJP","data/raw;docs/provenance/drive_methods","raw exports and methods exports","imported","source_root","","cataloged","Canonical Drive project folder"
"metadata","LTH: expression_by_temperature_2025 metadata","1_Tdh7oQlCiH_g3TfWPqHoj76gEJ1Lr09hTBMuyVMuUI","google_sheet","2026-04-30T23:49:28.773Z","https://docs.google.com/spreadsheets/d/1_Tdh7oQlCiH_g3TfWPqHoj76gEJ1Lr09hTBMuyVMuUI","data/raw/metadata","LTH_expression_by_temperature_2025_metadata.xlsx; metadata.csv","imported","analysis_input","code/01_load_clean_metadata.R","codebook","Master design and experimental metadata"
"shipping","LTH: expression_by_temperature_2025 shipping organization","1Cb_McS0P-8wl6WvP1BgxfPr7gZuW9IP7mp2iCmMgi0E","google_sheet","2025-10-15T17:53:45.831Z","https://docs.google.com/spreadsheets/d/1Cb_McS0P-8wl6WvP1BgxfPr7gZuW9IP7mp2iCmMgi0E","data/raw/shipping","LTH_expression_by_temperature_2025_shipping_organization.xlsx; Box_list.csv; Tube_Labeling.csv; metadata.csv","imported","provenance_only","","codebook","Sample storage and preservation provenance; not read directly by the current pipeline"
"worm_presence","Worm presence","1pY4LWRMWWJltDtiaWwEeIRvlpRWMuYp218jO-1Ka6BQ","google_sheet","2025-08-21T20:40:58.424Z","https://docs.google.com/spreadsheets/d/1pY4LWRMWWJltDtiaWwEeIRvlpRWMuYp218jO-1Ka6BQ","data/raw/worm_presence","Worm_presence.xlsx; Sheet1.csv","imported","analysis_input","code/10_worms.R","codebook","AEFW/worm surveillance"
"apex","APEX temp data and YSI","19-oQvqyyAxeC0zLZNBUwpcqWA7d-YONO","drive_folder","2025-06-19T00:00:00Z","https://drive.google.com/drive/folders/19-oQvqyyAxeC0zLZNBUwpcqWA7d-YONO","data/raw/apex","datalog.xml; datalog_05.20.2025_14days.xml; datalog_06.01.2025_14days.xml; datalog_06.12.2025_14days.xml; datalog_06.19.2025_14days.xml; datalog_06.19.2025_7days.xml","imported","analysis_input","code/08_apex_temperature.R","codebook","Continuous temperature XML logs"
"ysi","ysi daily log","11MrOICcoIp-lOJ9HiHcB9xWzf-_MgeMLQbt79Bmbb84","google_sheet","2025-06-13T05:36:06.464Z","https://docs.google.com/spreadsheets/d/11MrOICcoIp-lOJ9HiHcB9xWzf-_MgeMLQbt79Bmbb84","data/raw/ysi","ysi_daily_log.xlsx; Sheet1.csv","imported","analysis_input","code/09_ysi_water_chem.R","codebook","Daily handheld water chemistry"
"symbiont_counts","Symbiont counts","1yK9UvsOWbScZy_THubNGOWZNTQ9WE-GB-n1GXoXhhp8","google_sheet","2026-03-24T23:06:33.088Z","https://docs.google.com/spreadsheets/d/1yK9UvsOWbScZy_THubNGOWZNTQ9WE-GB-n1GXoXhhp8","data/raw/symbiont_counts","Symbiont_counts.xlsx; Raw_counts.csv; Ordered_averages.csv; metadata.csv; metadata_ordered_merge.csv; Copy_of_calculations.csv","imported","analysis_input","code/06_symbiont_chl.R","codebook","Hemocytometer counts and cells-per-area metadata"
"wax_dipping","Wax dip","1VQ5NtU8q0hwuTSD8m0aKfSBEtQpWtw3im5ZUBw6dcP8","google_sheet","2026-02-18T23:43:43.550Z","https://docs.google.com/spreadsheets/d/1VQ5NtU8q0hwuTSD8m0aKfSBEtQpWtw3im5ZUBw6dcP8","data/raw/wax_dipping","Wax_dip.xlsx; data.csv; Standard_curve.csv","imported","analysis_input","code/07_wax_dipping.R","codebook","Surface-area inputs and standard curve used by pipeline"
"wax_dipping_standard_curve","Wax dipping standard curve","1-MDMMlL4ba6KBhzzxnrPBUaGYjsHQatX3PZ8atbXoqI","google_sheet","2025-08-04T17:14:18.287Z","https://docs.google.com/spreadsheets/d/1-MDMMlL4ba6KBhzzxnrPBUaGYjsHQatX3PZ8atbXoqI","data/raw/wax_dipping_standard_curve","Standard_Curve.csv","imported","provenance_only","","codebook","Standalone standard curve sheet retained for traceability"
"color_card","Color card log - complete","1r2oos4zxd5NDaM14jYtDqE1rImZ1XiBKOtNw5CLIxaw","google_sheet","2025-08-21T19:55:45.586Z","https://docs.google.com/spreadsheets/d/1r2oos4zxd5NDaM14jYtDqE1rImZ1XiBKOtNw5CLIxaw","data/raw/color_card","Color_card_log_-_complete.xlsx; data.csv","imported","analysis_input","code/03_color_card_analysis.R","codebook","Repeated color-card and health observations"
