"file","column","unit","description"
"Raw_counts.csv","day","day","Biopsy day label from the counting sheet"
"Raw_counts.csv","Coral ID","NA","Coral fragment ID"
"Raw_counts.csv","Count","NA","Replicate count label or counter field"
"Raw_counts.csv","Q1","cells","Hemocytometer quadrant 1 count"
"Raw_counts.csv","Q2","cells","Hemocytometer quadrant 2 count"
"Raw_counts.csv","Q3","cells","Hemocytometer quadrant 3 count"
"Raw_counts.csv","Q4","cells","Hemocytometer quadrant 4 count"
"Raw_counts.csv","average","cells per quadrant","Spreadsheet average count for a replicate"
"Ordered_averages.csv","zoox_average","cells per quadrant","Per-coral average used by the original spreadsheet"
"Ordered_averages.csv","Coral ID","NA","Coral fragment ID"
"metadata_ordered_merge.csv","id","NA","Coral fragment ID"
"metadata_ordered_merge.csv","treatment","C","Temperature treatment"
"metadata_ordered_merge.csv","wound","yes/no","Wound treatment"
"metadata_ordered_merge.csv","tank","NA","Tank number"
"metadata_ordered_merge.csv","biopsy_day","day","Destructive sampling day"
"metadata_ordered_merge.csv","calculated_SA_standard_curve","cm2","Surface area from wax standard curve"
"metadata_ordered_merge.csv","slurry volume (mL)","mL","Tissue slurry volume used in cell-density calculation"
"Copy_of_calculations.csv","normal density (cells/cm^2)","cells/cm2","Spreadsheet-derived symbiont density"
"data/processed/symbiont_chl_clean.rds","cells_per_cm2","cells/cm2","Pipeline-recomputed symbiont density"
"data/processed/symbiont_chl_clean.rds","count_source","NA","Whether density used raw quadrant counts or metadata average fallback"

