thicket ,wound,tank,sample,treatment,id,date,day,tissue_over_wound,hole_in_center,polyp_in_hole,wound_smoothed,pigment_over_wound,tip_exist,tip_extension,new_corallites_on_tip,use_photo,notes
c,yes,9,photo,28,15,07/05/2025,0,no,no,no,no,no,no,no,no,no,"no rfp, no gfp; good angle"
c,yes,9,photo,28,16,07/05/2025,0,no,no,no,no,no,no,no,no,no,slight rfp? no gfp
c,yes,6,photo,28,14,07/05/2025,0,no,no,no,no,no,no,no,no,no,"no rfp, no gfp"
a,yes,9,photo,28,12,07/05/2025,0,no,no,no,no,no,no,no,no,yes,"no rfp, no gfp"
a,yes,9,photo,28,13,07/05/2025,0,no,no,no,no,no,no,no,no,yes,"no rfp, no gfp; good angle"
c,yes,6,photo,28,9,07/05/2025,0,no,no,no,no,no,no,no,no,yes,slight rfp? no gfp; good angle
a,yes,6,photo,28,10,07/05/2025,0,no,no,no,no,no,no,no,no,yes,"no rfp, slight gfp?"
a,yes,6,photo,28,11,07/05/2025,0,no,no,no,no,no,no,no,no,yes,"no rfp, no gfp"
a,yes,5,photo,31,3,07/05/2025,0,no,no,no,no,no,no,no,no,no,"slight rfp, slight gfp?"
c,yes,4,photo,31,5,07/05/2025,0,no,no,no,no,no,no,no,no,no,slight rfp? no gfp; good angle
c,yes,4,photo,31,6,07/05/2025,0,no,no,no,no,no,no,no,no,no,"no rfp, no gfp"
a,yes,4,photo,31,2,07/05/2025,0,no,no,no,no,no,no,no,no,no,slight rfp? slight gfp?
a,yes,5,photo,31,4,07/05/2025,0,no,no,no,no,no,no,no,no,no,slight rfp? slight gfp? good angle
c,yes,5,photo,31,8,07/05/2025,0,no,no,no,no,no,no,no,no,no,slight rfp? no gfp; good angle
a,yes,4,photo,31,1,07/05/2025,0,no,no,no,no,no,no,no,no,yes,"no rfp, slight gfp? good angle"
c,yes,5,photo,31,7,07/05/2025,0,no,no,no,no,no,no,no,no,yes,slight rfp? no gfp
c,yes,9,photo,28,15,07/06/2025,1,yes,no,no,no,no,no,no,no,no,NA
c,yes,9,photo,28,16,07/06/2025,1,yes,no,no,no,no,no,no,no,no,NA
c,yes,6,photo,28,14,07/06/2025,1,yes,no,no,no,no,no,no,no,no,NA
a,yes,9,photo,28,12,07/06/2025,1,yes,no,no,no,no,no,no,no,yes,NA
a,yes,9,photo,28,13,07/06/2025,1,yes,no,no,no,no,no,no,no,yes,NA
c,yes,6,photo,28,9,07/06/2025,1,yes,no,no,no,no,no,no,no,yes,NA
a,yes,6,photo,28,10,07/06/2025,1,yes,no,no,no,no,no,no,no,yes,NA
a,yes,6,photo,28,11,07/06/2025,1,yes,no,no,no,no,no,no,no,yes,NA
a,yes,5,photo,31,3,07/06/2025,1,yes,no,no,no,no,no,no,no,no,NA
c,yes,4,photo,31,5,07/06/2025,1,,no,no,no,no,no,no,no,no,NA
c,yes,4,photo,31,6,07/06/2025,1,yes,no,no,no,no,no,no,no,no,NA
a,yes,4,photo,31,2,07/06/2025,1,yes,no,no,no,no,no,no,no,no,NA
a,yes,5,photo,31,4,07/06/2025,1,yes,no,no,no,no,no,no,no,no,NA
c,yes,5,photo,31,8,07/06/2025,1,yes,no,no,no,no,no,no,no,no,NA
a,yes,4,photo,31,1,07/06/2025,1,yes,no,no,no,no,no,no,no,yes,NA
c,yes,5,photo,31,7,07/06/2025,1,,no,no,no,no,no,no,no,yes,NA
c,yes,9,photo,28,15,07/07/2025,2,yes,no,no,no,no,no,no,no,no,Beginning to see pattern of hole in center tissue
c,yes,9,photo,28,16,07/07/2025,2,yes,no,no,no,no,no,no,no,no,NA
c,yes,6,photo,28,14,07/07/2025,2,yes,no,no,no,no,no,no,no,no,NA
a,yes,9,photo,28,12,07/07/2025,2,yes,no,no,no,no,no,no,no,yes,NA
a,yes,9,photo,28,13,07/07/2025,2,yes,no,no,no,no,no,no,no,yes,NA
c,yes,6,photo,28,9,07/07/2025,2,yes,no,no,no,no,no,no,no,yes,"Same as D1, tissue over wound with zooxanthellae with thicker tissue"
a,yes,6,photo,28,10,07/07/2025,2,yes,no,no,no,no,no,no,no,yes,NA
a,yes,6,photo,28,11,07/07/2025,2,yes,no,no,no,no,no,no,no,yes,"Same as D1, tissue over wound with zooxanthellae in tissue, thicker tissue"
a,yes,5,photo,31,3,07/07/2025,2,yes,no,no,no,no,no,no,no,no,Polyp in hole?
c,yes,4,photo,31,5,07/07/2025,2,yes,no,no,no,no,no,no,no,no,Polyp in hole?
c,yes,4,photo,31,6,07/07/2025,2,yes,no,no,no,no,no,no,no,no,Polyp in hole?
a,yes,4,photo,31,2,07/07/2025,2,yes,no,no,no,no,no,no,no,no,NA
a,yes,5,photo,31,4,07/07/2025,2,yes,no,no,no,no,no,no,no,no,NA
c,yes,5,photo,31,8,07/07/2025,2,yes,no,no,no,no,no,no,no,no,NA
a,yes,4,photo,31,1,07/07/2025,2,yes,no,no,no,no,no,no,no,yes,Polyp in hole?
c,yes,5,photo,31,7,07/07/2025,2,yes,no,no,no,no,no,no,no,yes,NA
c,yes,9,photo,28,15,07/08/2025,3,yes,yes,yes,no,no,no,no,no,no,"looks like polyp visible since D2, otherwise center polyp clearly visible, no gfp/rfp"
