date,tank,thicket ,id,health_status,polyps out,algae (Y/N),growing tip (Y/N),notes
,3,a,111,,,,,
,3,a,114,,,,,
,3,a,134,,,,,
,3,a,160,,,,,
,3,a,162,,,,,
,3,a,172,,,,,
,3,a,191,,,,,
,3,a,209,,,,,
,3,c,129,,,,,
,3,c,139,,,,,
,3,c,250,,,,,
,3,c,279,,,,,
,3,c,290,,,,,
,3,c,291,,,,,
,3,c,296,,,,,
,3,c,298,,,,,
,3,d,113,,,,,
,3,d,156,,,,,
,3,d,203,,,,,
,3,d,204,,,,,
,3,d,242,,,,,
,3,d,246,,,,,
,3,d,247,,,,,
,3,d,258,,,,,
,4,a,136,,,,,
,4,a,138,,,,,
,4,a,142,,,,,
,4,a,152,,,,,
,4,a,165,,,,,
,4,a,182,,,,,
,4,a,197,,,,,
,4,a,211,,,,,
,4,c,133,,,,,
,4,c,141,,,,,
,4,c,260,,,,,
,4,c,274,,,,,
,4,c,276,,,,,
,4,c,289,,,,,
,4,c,293,,,,,
,4,c,295,,,,,
,4,d,143,,,,,
,4,d,150,,,,,
,4,d,206,,,,,
,4,d,215,,,,,
,4,d,224,,,,,
,4,d,230,,,,,
,4,d,236,,,,,
,4,d,249,,,,,
,5,a,153,,,,,
,5,a,161,,,,,
,5,a,170,,,,,
,5,a,180,,,,,
,5,a,183,,,,,
,5,a,184,,,,,
,5,a,198,,,,,
,5,a,212,,,,,
,5,c,115,,,,,
,5,c,124,,,,,
,5,c,251,,,,,
,5,c,263,,,,,
,5,c,270,,,,,
,5,c,277,,,,,
,5,c,278,,,,,
,5,c,297,,,,,
date,tank,thicket ,id,health_status,polyps out,algae (Y/N),growing tip (Y/N),notes
,5,d,126,,,,,
,5,d,154,,,,,
,5,d,200,,,,,
,5,d,221,,,,,
,5,d,226,,,,,
,5,d,233,,,,,
,5,d,235,,,,,
,5,d,239,,,,,
,6,a,135,,,,,
,6,a,140,,,,,
,6,a,169,,,,,
,6,a,179,,,,,
,6,a,192,,,,,
,6,a,194,,,,,
,6,a,199,,,,,
,6,a,208,,,,,
,6,c,117,,,,,
,6,c,123,,,,,
,6,c,267,,,,,
,6,c,268,,,,,
,6,c,280,,,,,
,6,c,281,,,,,
,6,c,282,,,,,
,6,c,292,,,,,
,6,d,145,,,,,
,6,d,146,,,,,
,6,d,220,,,,,
,6,d,222,,,,,
,6,d,232,,,,,
,6,d,238,,,,,
,6,d,245,,,,,
,6,d,248,,,,,
,9,a,137,,,,,
,9,a,148,,,,,
,9,a,157,,,,,
,9,a,159,,,,,
,9,a,166,,,,,
,9,a,173,,,,,
,9,a,187,,,,,
,9,a,189,,,,,
,9,c,121,,,,,
,9,c,131,,,,,
,9,c,253,,,,,
,9,c,271,,,,,
,9,c,272,,,,,
,9,c,285,,,,,
,9,c,288,,,,,
,9,d,118,,,,,
,9,d,122,,,,,
,9,d,217,,,,,
,9,d,218,,,,,
,9,d,227,,,,,
,9,d,229,,,,,
,9,d,237,,,,,
,9,d,257,,,,,
,10,a,155,,,,,
,10,a,158,,,,,
,10,a,171,,,,,
,10,a,175,,,,,
,10,a,178,,,,,
,10,a,193,,,,,
,10,a,210,,,,,
,10,a,214,,,,,
date,tank,thicket ,id,health_status,polyps out,algae (Y/N),growing tip (Y/N),notes
,10,c,119,,,,,
,10,c,132,,,,,
,10,c,254,,,,,
,10,c,255,,,,,
,10,c,262,,,,,
,10,c,266,,,,,
,10,c,283,,,,,
,10,c,286,,,,,
,10,d,110,,,,,
,10,d,120,,,,,
,10,d,186,,,,,
,10,d,205,,,,,
,10,d,216,,,,,
,10,d,241,,,,,
,10,d,256,,,,,
,10,d,259,,,,,
,11,a,112,,,,,
,11,a,163,,,,,
,11,a,168,,,,,
,11,a,174,,,,,
,11,a,181,,,,,
,11,a,188,,,,,
,11,a,195,,,,,
,11,a,207,,,,,
,11,c,116,,,,,
,11,c,127,,,,,
,11,c,264,,,,,
,11,c,265,,,,,
,11,c,269,,,,,
,11,c,284,,,,,
,11,c,299,,,,,
,11,c,300,,,,,
,11,d,128,,,,,
,11,d,149,,,,,
,11,d,185,,,,,
,11,d,219,,,,,
,11,d,225,,,,,
,11,d,228,,,,,
,11,d,240,,,,,
,11,d,244,,,,,
,12,a,151,,,,,
,12,a,164,,,,,
,12,a,167,,,,,
,12,a,176,,,,,
,12,a,177,,,,,
,12,a,190,,,,,
,12,a,196,,,,,
,12,a,213,,,,,
,12,c,125,,,,,
,12,c,130,,,,,
,12,c,252,,,,,
,12,c,261,,,,,
,12,c,273,,,,,
,12,c,275,,,,,
,12,c,287,,,,,
,12,c,294,,,,,
,12,c,301,,,,,
,12,d,144,,,,,
,12,d,147,,,,,
,12,d,201,,,,,
,12,d,202,,,,,
,12,d,223,,,,,
,12,d,231,,,,,
,12,d,234,,,,,
,12,d,243,,,,,
