date,treatment,tank,thicket ,sample,id,location,F,M,Y,E,notes
,28,3,a,phys,162,top,,,,,
,28,3,a,phys,162,bottom,,,,,
,28,3,a,phys,172,top,,,,,
,28,3,a,phys,172,bottom,,,,,
,28,3,c,phys,129,top,,,,,
,28,3,c,phys,129,bottom,,,,,
,28,3,c,phys,139,top,,,,,
,28,3,c,phys,139,bottom,,,,,
,28,3,d,phys,113,top,,,,,
,28,3,d,phys,113,bottom,,,,,
,28,3,d,phys,156,top,,,,,
,28,3,d,phys,156,bottom,,,,,
,28,6,a,phys,169,top,,,,,
,28,6,a,phys,169,bottom,,,,,
,28,6,a,phys,179,top,,,,,
,28,6,a,phys,179,bottom,,,,,
,28,6,c,phys,117,top,,,,,
,28,6,c,phys,117,bottom,,,,,
,28,6,c,phys,123,top,,,,,
,28,6,c,phys,123,bottom,,,,,
,28,6,d,phys,145,top,,,,,
,28,6,d,phys,145,bottom,,,,,
,28,6,d,phys,146,top,,,,,
,28,6,d,phys,146,bottom,,,,,
,28,9,a,phys,166,top,,,,,
,28,9,a,phys,166,bottom,,,,,
,28,9,a,phys,173,top,,,,,
,28,9,a,phys,173,bottom,,,,,
,28,9,c,phys,121,top,,,,,
,28,9,c,phys,121,bottom,,,,,
,28,9,c,phys,131,top,,,,,
,28,9,c,phys,131,bottom,,,,,
,28,9,d,phys,118,top,,,,,
,28,9,d,phys,118,bottom,,,,,
,28,9,d,phys,122,top,,,,,
,28,9,d,phys,122,bottom,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
date,treatment,tank,thicket ,sample,id,location,F,M,Y,E,notes
,28,12,a,phys,176,top,,,,,
,28,12,a,phys,176,bottom,,,,,
,28,12,a,phys,177,top,,,,,
,28,12,a,phys,177,bottom,,,,,
,28,12,c,phys,125,top,,,,,
,28,12,c,phys,125,bottom,,,,,
,28,12,c,phys,130,top,,,,,
,28,12,c,phys,130,bottom,,,,,
,28,12,d,phys,144,top,,,,,
,28,12,d,phys,144,bottom,,,,,
,28,12,d,phys,147,top,,,,,
,28,12,d,phys,147,bottom,,,,,
,31,4,a,phys,152,top,,,,,
,31,4,a,phys,152,bottom,,,,,
,31,4,a,phys,165,top,,,,,
,31,4,a,phys,165,bottom,,,,,
,31,4,c,phys,133,top,,,,,
,31,4,c,phys,133,bottom,,,,,
,31,4,c,phys,141,top,,,,,
,31,4,c,phys,141,bottom,,,,,
,31,4,d,phys,143,top,,,,,
,31,4,d,phys,143,bottom,,,,,
,31,4,d,phys,150,top,,,,,
,31,4,d,phys,150,bottom,,,,,
,31,5,a,phys,161,top,,,,,
,31,5,a,phys,161,bottom,,,,,
,31,5,a,phys,170,top,,,,,
,31,5,a,phys,170,bottom,,,,,
,31,5,c,phys,115,top,,,,,
,31,5,c,phys,115,bottom,,,,,
,31,5,c,phys,124,top,,,,,
,31,5,c,phys,124,bottom,,,,,
,31,5,d,phys,126,top,,,,,
,31,5,d,phys,126,bottom,,,,,
,31,5,d,phys,154,top,,,,,
,31,5,d,phys,154,bottom,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
date,treatment,tank,thicket ,sample,id,location,F,M,Y,E,notes
,31,10,a,phys,175,top,,,,,
,31,10,a,phys,175,bottom,,,,,
,31,10,a,phys,178,top,,,,,
,31,10,a,phys,178,bottom,,,,,
,31,10,c,phys,119,top,,,,,
,31,10,c,phys,119,bottom,,,,,
,31,10,c,phys,132,top,,,,,
,31,10,c,phys,132,bottom,,,,,
,31,10,d,phys,110,top,,,,,
,31,10,d,phys,110,bottom,,,,,
,31,10,d,phys,120,top,,,,,
,31,10,d,phys,120,bottom,,,,,
,31,11,a,phys,163,top,,,,,
,31,11,a,phys,163,bottom,,,,,
,31,11,a,phys,174,top,,,,,
,31,11,a,phys,174,bottom,,,,,
,31,11,c,phys,116,top,,,,,
,31,11,c,phys,116,bottom,,,,,
,31,11,c,phys,127,top,,,,,
,31,11,c,phys,127,bottom,,,,,
,31,11,d,phys,128,top,,,,,
,31,11,d,phys,128,bottom,,,,,
,31,11,d,phys,149,top,,,,,
,31,11,d,phys,149,bottom,,,,,
