sample,ID,PC1,PC2,PC3,PC4,thicket,cov,cluster
301_wound_D3,301_W_D3_S72_L005,0.0170572622758409,-0.110266800115833,-0.037198643589186,0.00115391374270152,c,11575311.956,1
300_wound_D1,300_W_D1_S48_L005,0.0234838310575474,-0.142989591761066,-0.0504380094745179,0.00237688037648928,c,12757765.01,1
298_wound_D1,298_W_D1_S3_L005,0.0179660950714493,-0.107214919879444,-0.0351230444968042,0.000246812735844968,c,15817966.006,1
296_wound_D1,296_W_D1_S6_L005,0.0169688723645536,-0.0999882268774105,-0.032501133299046,6.68045877494543e-05,c,23004871.965,1
295_wound_D3,295_W_D3_S78_L005,0.0176923869613434,-0.106068210654244,-0.0338448005304119,0.00050825314314446,c,14852128.97,1
292_wound_D10,292_W_D10_S108_L005,0.0191589196907711,-0.108824320893562,-0.0352188660289366,0.00090638494142498,c,17451628.0220001,1
290_wound_D3,290_W_D3_S51_L005,0.0184290214104767,-0.10916229533978,-0.0352273480375345,0.000148301365883683,c,12726885.028,1
293_wound_D10,293_W_D10_S123_L005,0.0179702595600322,-0.103611389776698,-0.0335810700777535,0.000229914607114824,c,17945764.0069999,1
289_wound_D3,289_W_D3_S75_L005,0.0177720774972046,-0.107586409750168,-0.0333856991382807,-0.000260454524000232,c,8741478.99699999,1
288_wound_D1,288_W_D1_S18_L005,0.0180958766793332,-0.106192387224472,-0.0347476251488973,0.000637610425158268,c,19652318.94,1
285_wound_D10,285_W_D10_S114_L005,0.0169830616395997,-0.106582173403225,-0.0358672822480725,0.000414011715075342,c,16745528.985,1
216_wound_D3,216_W_D3_S89_L005,0.0548125793079159,0.0046137462345245,0.197283629591725,-0.109639410904016,d,12564713.03,2
291_wound_D10,291_W_D10_S102_L005,0.0167225150591826,-0.099024027189688,-0.0318375532276579,-4.64541815304006e-05,c,24264338.002,1
237_wound_D10,237_W_D10_S113_L005,0.152869270850336,0.115249167402988,-0.107145795893301,-0.043619108732348,d,15738606,3
264_wound_D1,264_W_D1_S45_L005,0.0226107899310479,-0.134650940899427,-0.0456467937665962,0.00189967371865592,c,12955735.021,1
271_wound_D3,271_W_D3_S63_L005,0.0183655506609177,-0.111351324071578,-0.037293135962895,0.00164661104252281,c,11065260.982,1
214_wound_D10,214_W_D10_S137_L005,-0.0973540318013596,0.0540377896172505,-0.0162148524478601,-0.00646702047299766,a,15794712,4
209_wound_D1,209_W_D1_S5_L005,-0.0953154658063196,0.0503983803747689,-0.0142192913246832,-0.00681236084426535,a,20643056.984,4
194_wound_D3,194_W_D3_S55_L005,-0.101271268054802,0.0539054567579402,-0.0140572353120065,-0.00584463649446173,a,11951380.978,4
206_wound_D3,206_W_D3_S77_L005,0.0512728961830615,0.00715108185563564,0.183438475042892,-0.102691223085626,d,15540476.983,2
138_wound_D3,138_W_D3_S76_L005,-0.0998923763849439,0.0520472677231599,-0.0150539925205002,-0.00633239826120395,a,13394709.992,4
203_wound_D1,203_W_D1_S4_L005,0.0916790764477144,0.0720311236938612,-0.0621087910316976,-0.0276691827846138,d,4165306.02,3
234_wound_D1,234_W_D1_S20_L005,0.062187429052768,0.0102826452254553,0.230535588210346,-0.134707798673105,d,15415242.99,2
232_wound_D10,232_W_D10_S104_L005,0.149054850696692,0.116847022009834,-0.0998008936256957,-0.0409701213177293,d,21337653.9659999,3
270_wound_D3,270_W_D3_S84_L005,0.0130713273383368,-0.0869640169671576,-0.0286622848448097,0.000340705176348484,c,11184343.962,1
199_wound_D10,199_W_D10_S103_L005,0.0640297593148489,0.0401400533263689,0.119646899846816,0.267112878291262,a,19246610.975,5
135_wound_D10,135_W_D10_S106_L005,0.0623423282875136,0.0392919726319308,0.116643233868488,0.257183783731088,a,21018055.993,5
269_wound_D10,269_W_D10_S144_L005,0.01224806413781,-0.106336049460122,-0.0370378868352595,0.00164372264382515,c,14550212.958,1
197_wound_D1,197_W_D1_S28_L005,-0.101012664142066,0.0552113709619794,-0.0160800857429215,-0.0064048083341006,a,14053960.0219999,4
187_wound_D3,187_W_D3_S64_L005,0.0653189191796228,0.0417809227822878,0.125884414695483,0.281533131793451,a,12874910.997,5
189_wound_D10,189_W_D10_S112_L005,-0.0956776262466495,0.0511405420530769,-0.0139204595595404,-0.0063682456567738,a,18957987.99,4
188_wound_D1,188_W_D1_S43_L005,-0.0999093979482488,0.053560659971395,-0.0146108516592281,-0.00579556011232216,a,18197558.986,4
134_wound_D3,134_W_D3_S49_L005,-0.0967093591461134,0.0504451801054505,-0.0139228347575631,-0.00607353127032608,a,16657043.99,4
167_wound_D3,167_W_D3_S70_L005,-0.0568225419179849,0.0283659529226765,-0.0103910000073219,-0.003179507557741,a,14298056.021,4
239_wound_D3,239_W_D3_S80_L005,-0.0988397646129441,0.051966042044066,-0.0146734500622535,-0.00683819601555944,d,13316233.983,4
171_wound_D1,171_W_D1_S37_L005,-0.102404366363897,0.0548404829063832,-0.0153916687071006,-0.00666804861724102,a,15965147.021,4
259_wound_D1,259_W_D1_S38_L005,-0.100311356990484,0.0529941846773093,-0.0150245444223336,-0.00595480349724842,d,16772868.02,4
151_wound_D1,151_W_D1_S19_L005,-0.105191343680548,0.0561288714622061,-0.0160573261623511,-0.00596910439068511,a,19340468.0159999,4
254_wound_D1,254_W_D1_S41_L005,0.0228048123130698,-0.139153674339621,-0.0467491653994287,0.00133838911978586,c,11673059.967,1
299_wound_D10,299_W_D10_S141_L005,0.0181195380366265,-0.107979497850632,-0.0350110653184846,0.00082068740335732,c,16684040.007,1
180_wound_D10,180_W_D10_S127_L005,-0.0972175893405775,0.051123696070928,-0.013811825530891,-0.00526839968722705,a,16924416.016,4
210_wound_D1,210_W_D1_S40_L005,-0.107812365312204,0.0581089015167018,-0.0159832391596504,-0.0078200425650259,a,15440983.943,4
137_wound_D10,137_W_D10_S109_L005,-0.0947660360292919,0.04980607978032,-0.01405900240099,-0.00614126285081374,a,19563842.957,4
164_wound_D1,164_W_D1_S22_L005,0.0689157717802094,0.0575589201183944,0.0313794586493584,0.339978879892815,a,16319307.9880001,6
281_wound_D3,281_W_D3_S57_L005,0.0172600582669253,-0.10305050751922,-0.0338393327605898,0.0010303096764593,c,16179043.0179999,1
142_wound_D10,142_W_D10_S121_L005,-0.102075547458691,0.0535323622993959,-0.0153679868079621,-0.00687931569198686,a,16782028.013,4
148_wound_D1,148_W_D1_S13_L005,-0.105711431575481,0.0565068006707456,-0.0157256353563328,-0.00794017595312311,a,14873817.027,4
260_wound_D10,260_W_D10_S126_L005,0.0180941671300736,-0.103298258349043,-0.0339258108103213,0.000258159471306375,c,16012241.055,1
114_wound_D10,114_W_D10_S97_L005,-0.0949646262493868,0.0502726040392878,-0.0136418143213537,-0.0056749982446289,a,20020916.009,4
112_wound_D3,112_W_D3_S94_L005,-0.0984222997041012,0.0517493798758794,-0.0137809818687814,-0.00671330748698248,a,17573675.9870001,4
213_wound_D10,213_W_D10_S118_L005,-0.092228748567673,0.0494494581847151,-0.00948225666654758,-0.00801019977964964,a,19997529.9569999,4
191_wound_D10,191_W_D10_S100_L005,-0.0946927020048696,0.0494264382340746,-0.0137372225753583,-0.0059631002154351,a,21107194.0329999,4
217_wound_D10,217_W_D10_S110_L005,0.159704465995549,0.126263005144994,-0.109990216842335,-0.0447909254527878,d,14577875.917,3
157_wound_D3,157_W_D3_S61_L005,-0.0977836483975124,0.0511111131712409,-0.0141493731372844,-0.00619755141494204,a,15818392.012,4
287_wound_D1,287_W_D1_S21_L005,0.0196619231323666,-0.11703786462294,-0.038331212837045,0.0012848271256405,c,17141783.9789999,1
158_wound_D10,158_W_D10_S133_L005,-0.0997330998979237,0.0528114383491975,-0.014397396296127,-0.0057771731985014,a,17750032,4
277_wound_D10,277_W_D10_S129_L005,0.0199325861599825,-0.112459656435826,-0.0364329423156465,-0.000458269033178319,c,15665643.999,1
208_wound_D3,208_W_D3_S58_L005,0.0614179120866609,0.040755182667387,0.120356014800337,0.266600525214954,a,15855944.018,5
202_wound_D10,202_W_D10_S116_L005,0.15101457337036,0.119637506855121,-0.101271891519473,-0.0414273449534921,d,18999401.992,3
160_wound_D3,160_W_D3_S52_L005,-0.104769769694611,0.0566789776696804,-0.0172443384105879,-0.00558138593661608,a,9955190.03100001,4
274_wound_D1,274_W_D1_S27_L005,0.0194761109816986,-0.114579097304001,-0.038008430647097,0.0010983833336544,c,11735630.028,1
168_wound_D3,168_W_D3_S91_L005,0.0658888888397975,0.041629113776592,0.125247687983134,0.282890327565793,a,14568424.004,5
181_wound_D1,181_W_D1_S46_L005,0.054390885643251,0.035869304787547,0.10850305358023,0.267340573861049,a,8932604.02300003,5
257_wound_D1,257_W_D1_S14_L005,0.0552992509701005,0.00843562286724038,0.198315777453557,-0.110197377394556,d,16978386.95,2
266_wound_D3,266_W_D3_S90_L005,0.0152819564869435,-0.0933629984895426,-0.0303746314084793,0.00118849530536193,c,7912165.98699998,1
182_wound_D1,182_W_D1_S25_L005,0.0680501025128565,0.0558070788286588,0.0289672885585775,0.336129652512052,a,9350396.00299999,6
198_wound_D1,198_W_D1_S31_L005,-0.111639696919767,0.0618399519279863,-0.0160465012473746,-0.0078149688311815,a,9826962.018,4
207_wound_D10,207_W_D10_S139_L005,-0.0957411210996177,0.050497213988735,-0.0134443413325016,-0.00531414481344564,a,18171868.9229999,4
235_wound_D10,235_W_D10_S131_L005,0.149651099923772,0.114978110016038,-0.102305617789712,-0.0405131475682371,d,19527005.0000001,3
185_wound_D3,185_W_D3_S92_L005,-0.100371920071322,0.0530768961302265,-0.0149346689208481,-0.00621246627967006,d,14456330.997,4
250_wound_D3,250_W_D3_S54_L005,0.0163560751134728,-0.0983707146586094,-0.0317481749038371,0.00038816679518934,c,26924025.989,1
140_wound_D1,140_W_D1_S10_L005,-0.109167457769227,0.0602502015385491,-0.0165616751274267,-0.00799807357700455,a,12103837.993,4
201_wound_D3,201_W_D3_S68_L005,0.158393154629441,0.128414693052254,-0.110556410466965,-0.0463505978638587,d,10002374.997,3
212_wound_D3,212_W_D3_S82_L005,0.0490663932835018,0.0476154950754304,0.0565322942466533,0.0717490396854704,a,8993183.031,7
190_wound_D3,190_W_D3_S67_L005,-0.102889298305558,0.0546141894195636,-0.0159159182330046,-0.00661990473026019,a,10208843.024,4
