trait,label,treatment,thicket,n_corals,n_events,prop_event,median_event_day,iqr_low,iqr_high,last_scored_day
axial_polyp_formation,Axial polyp formation,28C,a,4,4,1,3,3,3,15
axial_polyp_formation,Axial polyp formation,28C,c,4,4,1,3,3,3,15
axial_polyp_formation,Axial polyp formation,31C,a,4,4,1,3,3,3.25,15
axial_polyp_formation,Axial polyp formation,31C,c,4,4,1,3,3,3,15
new_corallites_on_tip,New corallites on tip,28C,a,4,4,1,12,12,12.5,15
new_corallites_on_tip,New corallites on tip,28C,c,4,4,1,13.5,12.75,14,15
new_corallites_on_tip,New corallites on tip,31C,a,4,2,0.5,14,14,14,15
new_corallites_on_tip,New corallites on tip,31C,c,4,0,0,NA,NA,NA,15
pigment_over_wound,Pigment over wound,28C,a,4,4,1,4.5,4,5,7
pigment_over_wound,Pigment over wound,28C,c,4,2,0.5,6.5,6.25,6.75,7
pigment_over_wound,Pigment over wound,31C,a,4,4,1,3,3,3.25,7
pigment_over_wound,Pigment over wound,31C,c,4,1,0.25,5,5,5,7
tip_exist,Tip exists,28C,a,4,4,1,5,5,5.25,15
tip_exist,Tip exists,28C,c,4,4,1,6.5,6,7.25,15
tip_exist,Tip exists,31C,a,4,4,1,5,5,5.25,15
tip_exist,Tip exists,31C,c,4,4,1,7,6.5,7.75,15
tip_extension,Tip extension,28C,a,4,4,1,8,8,8,15
tip_extension,Tip extension,28C,c,4,4,1,9,8.75,9,15
tip_extension,Tip extension,31C,a,4,4,1,8,8,8,15
tip_extension,Tip extension,31C,c,4,4,1,10.5,9.75,11,15
tissue_over_wound,Tissue over wound,28C,a,4,4,1,1,1,1,15
tissue_over_wound,Tissue over wound,28C,c,4,4,1,1,1,1,15
tissue_over_wound,Tissue over wound,31C,a,4,4,1,1,1,1,15
tissue_over_wound,Tissue over wound,31C,c,4,4,1,1.5,1,2,15
wound_smoothed,Wound smoothed,28C,a,4,4,1,4,4,4.25,15
wound_smoothed,Wound smoothed,28C,c,4,4,1,5,4.75,5,15
wound_smoothed,Wound smoothed,31C,a,4,4,1,4,4,4.25,15
wound_smoothed,Wound smoothed,31C,c,4,4,1,5,4.75,5,15
