day,treatment,trait,label,n,n_yes,prop
0,28C,axial_polyp_formation,Axial polyp formation,8,0,0
0,28C,new_corallites_on_tip,New corallites on tip,8,0,0
0,28C,pigment_over_wound,Pigment over wound,8,0,0
0,28C,tip_exist,Tip exists,8,0,0
0,28C,tip_extension,Tip extension,8,0,0
0,28C,tissue_over_wound,Tissue over wound,8,0,0
0,28C,wound_smoothed,Wound smoothed,8,0,0
0,31C,axial_polyp_formation,Axial polyp formation,8,0,0
0,31C,new_corallites_on_tip,New corallites on tip,8,0,0
0,31C,pigment_over_wound,Pigment over wound,8,0,0
0,31C,tip_exist,Tip exists,8,0,0
0,31C,tip_extension,Tip extension,8,0,0
0,31C,tissue_over_wound,Tissue over wound,8,0,0
0,31C,wound_smoothed,Wound smoothed,8,0,0
1,28C,axial_polyp_formation,Axial polyp formation,8,0,0
1,28C,new_corallites_on_tip,New corallites on tip,8,0,0
1,28C,pigment_over_wound,Pigment over wound,8,0,0
1,28C,tip_exist,Tip exists,8,0,0
1,28C,tip_extension,Tip extension,8,0,0
1,28C,tissue_over_wound,Tissue over wound,8,8,1
1,28C,wound_smoothed,Wound smoothed,8,0,0
1,31C,axial_polyp_formation,Axial polyp formation,8,0,0
1,31C,new_corallites_on_tip,New corallites on tip,8,0,0
1,31C,pigment_over_wound,Pigment over wound,8,0,0
1,31C,tip_exist,Tip exists,8,0,0
1,31C,tip_extension,Tip extension,8,0,0
1,31C,tissue_over_wound,Tissue over wound,6,6,1
1,31C,wound_smoothed,Wound smoothed,8,0,0
2,28C,axial_polyp_formation,Axial polyp formation,8,0,0
2,28C,new_corallites_on_tip,New corallites on tip,8,0,0
2,28C,pigment_over_wound,Pigment over wound,8,0,0
2,28C,tip_exist,Tip exists,8,0,0
2,28C,tip_extension,Tip extension,8,0,0
2,28C,tissue_over_wound,Tissue over wound,8,8,1
2,28C,wound_smoothed,Wound smoothed,8,0,0
2,31C,axial_polyp_formation,Axial polyp formation,8,0,0
2,31C,new_corallites_on_tip,New corallites on tip,8,0,0
2,31C,pigment_over_wound,Pigment over wound,8,0,0
2,31C,tip_exist,Tip exists,8,0,0
2,31C,tip_extension,Tip extension,8,0,0
2,31C,tissue_over_wound,Tissue over wound,8,8,1
2,31C,wound_smoothed,Wound smoothed,8,0,0
3,28C,axial_polyp_formation,Axial polyp formation,8,8,1
3,28C,new_corallites_on_tip,New corallites on tip,8,0,0
3,28C,pigment_over_wound,Pigment over wound,8,0,0
3,28C,tip_exist,Tip exists,8,0,0
3,28C,tip_extension,Tip extension,8,0,0
3,28C,tissue_over_wound,Tissue over wound,8,8,1
3,28C,wound_smoothed,Wound smoothed,8,0,0
3,31C,axial_polyp_formation,Axial polyp formation,8,7,0.875
3,31C,new_corallites_on_tip,New corallites on tip,8,0,0
3,31C,pigment_over_wound,Pigment over wound,8,3,0.375
3,31C,tip_exist,Tip exists,8,0,0
3,31C,tip_extension,Tip extension,8,0,0
3,31C,tissue_over_wound,Tissue over wound,8,8,1
3,31C,wound_smoothed,Wound smoothed,8,0,0
4,28C,axial_polyp_formation,Axial polyp formation,8,8,1
4,28C,new_corallites_on_tip,New corallites on tip,8,0,0
