day,treatment,thicket,trait,label,n,n_yes,prop
0,28C,a,axial_polyp_formation,Axial polyp formation,4,0,0
0,28C,a,new_corallites_on_tip,New corallites on tip,4,0,0
0,28C,a,pigment_over_wound,Pigment over wound,4,0,0
0,28C,a,tip_exist,Tip exists,4,0,0
0,28C,a,tip_extension,Tip extension,4,0,0
0,28C,a,tissue_over_wound,Tissue over wound,4,0,0
0,28C,a,wound_smoothed,Wound smoothed,4,0,0
0,28C,c,axial_polyp_formation,Axial polyp formation,4,0,0
0,28C,c,new_corallites_on_tip,New corallites on tip,4,0,0
0,28C,c,pigment_over_wound,Pigment over wound,4,0,0
0,28C,c,tip_exist,Tip exists,4,0,0
0,28C,c,tip_extension,Tip extension,4,0,0
0,28C,c,tissue_over_wound,Tissue over wound,4,0,0
0,28C,c,wound_smoothed,Wound smoothed,4,0,0
0,31C,a,axial_polyp_formation,Axial polyp formation,4,0,0
0,31C,a,new_corallites_on_tip,New corallites on tip,4,0,0
0,31C,a,pigment_over_wound,Pigment over wound,4,0,0
0,31C,a,tip_exist,Tip exists,4,0,0
0,31C,a,tip_extension,Tip extension,4,0,0
0,31C,a,tissue_over_wound,Tissue over wound,4,0,0
0,31C,a,wound_smoothed,Wound smoothed,4,0,0
0,31C,c,axial_polyp_formation,Axial polyp formation,4,0,0
0,31C,c,new_corallites_on_tip,New corallites on tip,4,0,0
0,31C,c,pigment_over_wound,Pigment over wound,4,0,0
0,31C,c,tip_exist,Tip exists,4,0,0
0,31C,c,tip_extension,Tip extension,4,0,0
0,31C,c,tissue_over_wound,Tissue over wound,4,0,0
0,31C,c,wound_smoothed,Wound smoothed,4,0,0
1,28C,a,axial_polyp_formation,Axial polyp formation,4,0,0
1,28C,a,new_corallites_on_tip,New corallites on tip,4,0,0
1,28C,a,pigment_over_wound,Pigment over wound,4,0,0
1,28C,a,tip_exist,Tip exists,4,0,0
1,28C,a,tip_extension,Tip extension,4,0,0
1,28C,a,tissue_over_wound,Tissue over wound,4,4,1
1,28C,a,wound_smoothed,Wound smoothed,4,0,0
1,28C,c,axial_polyp_formation,Axial polyp formation,4,0,0
1,28C,c,new_corallites_on_tip,New corallites on tip,4,0,0
1,28C,c,pigment_over_wound,Pigment over wound,4,0,0
1,28C,c,tip_exist,Tip exists,4,0,0
1,28C,c,tip_extension,Tip extension,4,0,0
1,28C,c,tissue_over_wound,Tissue over wound,4,4,1
1,28C,c,wound_smoothed,Wound smoothed,4,0,0
1,31C,a,axial_polyp_formation,Axial polyp formation,4,0,0
1,31C,a,new_corallites_on_tip,New corallites on tip,4,0,0
1,31C,a,pigment_over_wound,Pigment over wound,4,0,0
1,31C,a,tip_exist,Tip exists,4,0,0
1,31C,a,tip_extension,Tip extension,4,0,0
1,31C,a,tissue_over_wound,Tissue over wound,4,4,1
1,31C,a,wound_smoothed,Wound smoothed,4,0,0
1,31C,c,axial_polyp_formation,Axial polyp formation,4,0,0
1,31C,c,new_corallites_on_tip,New corallites on tip,4,0,0
1,31C,c,pigment_over_wound,Pigment over wound,4,0,0
1,31C,c,tip_exist,Tip exists,4,0,0
1,31C,c,tip_extension,Tip extension,4,0,0
1,31C,c,tissue_over_wound,Tissue over wound,2,2,1
1,31C,c,wound_smoothed,Wound smoothed,4,0,0
2,28C,a,axial_polyp_formation,Axial polyp formation,4,0,0
2,28C,a,new_corallites_on_tip,New corallites on tip,4,0,0
2,28C,a,pigment_over_wound,Pigment over wound,4,0,0
2,28C,a,tip_exist,Tip exists,4,0,0
2,28C,a,tip_extension,Tip extension,4,0,0
2,28C,a,tissue_over_wound,Tissue over wound,4,4,1
2,28C,a,wound_smoothed,Wound smoothed,4,0,0
2,28C,c,axial_polyp_formation,Axial polyp formation,4,0,0
2,28C,c,new_corallites_on_tip,New corallites on tip,4,0,0
2,28C,c,pigment_over_wound,Pigment over wound,4,0,0
2,28C,c,tip_exist,Tip exists,4,0,0
2,28C,c,tip_extension,Tip extension,4,0,0
2,28C,c,tissue_over_wound,Tissue over wound,4,4,1
2,28C,c,wound_smoothed,Wound smoothed,4,0,0
2,31C,a,axial_polyp_formation,Axial polyp formation,4,0,0
2,31C,a,new_corallites_on_tip,New corallites on tip,4,0,0
2,31C,a,pigment_over_wound,Pigment over wound,4,0,0
2,31C,a,tip_exist,Tip exists,4,0,0
2,31C,a,tip_extension,Tip extension,4,0,0
2,31C,a,tissue_over_wound,Tissue over wound,4,4,1
2,31C,a,wound_smoothed,Wound smoothed,4,0,0
2,31C,c,axial_polyp_formation,Axial polyp formation,4,0,0
2,31C,c,new_corallites_on_tip,New corallites on tip,4,0,0
2,31C,c,pigment_over_wound,Pigment over wound,4,0,0
2,31C,c,tip_exist,Tip exists,4,0,0
2,31C,c,tip_extension,Tip extension,4,0,0
2,31C,c,tissue_over_wound,Tissue over wound,4,4,1
2,31C,c,wound_smoothed,Wound smoothed,4,0,0
3,28C,a,axial_polyp_formation,Axial polyp formation,4,4,1
3,28C,a,new_corallites_on_tip,New corallites on tip,4,0,0
3,28C,a,pigment_over_wound,Pigment over wound,4,0,0
3,28C,a,tip_exist,Tip exists,4,0,0
3,28C,a,tip_extension,Tip extension,4,0,0
3,28C,a,tissue_over_wound,Tissue over wound,4,4,1
3,28C,a,wound_smoothed,Wound smoothed,4,0,0
3,28C,c,axial_polyp_formation,Axial polyp formation,4,4,1
3,28C,c,new_corallites_on_tip,New corallites on tip,4,0,0
3,28C,c,pigment_over_wound,Pigment over wound,4,0,0
