dataset,dataset_label,treatment,thicket,tank,n_corals
microscope_physio,Microscope photos,28C,a,6,2
microscope_physio,Microscope photos,28C,a,9,2
microscope_physio,Microscope photos,28C,c,6,2
microscope_physio,Microscope photos,28C,c,9,2
microscope_physio,Microscope photos,31C,a,4,2
microscope_physio,Microscope photos,31C,a,5,2
microscope_physio,Microscope photos,31C,c,4,2
microscope_physio,Microscope photos,31C,c,5,2
physio_morphology,Main morphology,28C,a,3,1
physio_morphology,Main morphology,28C,a,6,1
physio_morphology,Main morphology,28C,a,9,1
physio_morphology,Main morphology,28C,a,12,1
physio_morphology,Main morphology,28C,c,3,1
physio_morphology,Main morphology,28C,c,6,1
physio_morphology,Main morphology,28C,c,9,1
physio_morphology,Main morphology,28C,c,12,1
physio_morphology,Main morphology,28C,d,3,1
physio_morphology,Main morphology,28C,d,6,1
physio_morphology,Main morphology,28C,d,9,1
physio_morphology,Main morphology,28C,d,12,1
physio_morphology,Main morphology,31C,a,4,1
physio_morphology,Main morphology,31C,a,5,1
physio_morphology,Main morphology,31C,a,10,1
physio_morphology,Main morphology,31C,a,11,1
physio_morphology,Main morphology,31C,c,4,1
physio_morphology,Main morphology,31C,c,5,1
physio_morphology,Main morphology,31C,c,10,1
physio_morphology,Main morphology,31C,c,11,1
physio_morphology,Main morphology,31C,d,4,1
physio_morphology,Main morphology,31C,d,5,1
physio_morphology,Main morphology,31C,d,10,1
physio_morphology,Main morphology,31C,d,11,1
