dataset,dataset_label,day,treatment,trait,short_label,label,trait_order,phase,phase_short,facet_trait,n_scored,n_yes,prop
microscope_physio,Microscope photos,0,28C,tissue_over_wound,Tissue cover,Tissue over wound,1,Wound covering,Covering,Microscope: Tissue cover,8,0,0
microscope_physio,Microscope photos,1,28C,tissue_over_wound,Tissue cover,Tissue over wound,1,Wound covering,Covering,Microscope: Tissue cover,8,8,1
microscope_physio,Microscope photos,2,28C,tissue_over_wound,Tissue cover,Tissue over wound,1,Wound covering,Covering,Microscope: Tissue cover,8,8,1
microscope_physio,Microscope photos,3,28C,tissue_over_wound,Tissue cover,Tissue over wound,1,Wound covering,Covering,Microscope: Tissue cover,8,8,1
microscope_physio,Microscope photos,4,28C,tissue_over_wound,Tissue cover,Tissue over wound,1,Wound covering,Covering,Microscope: Tissue cover,8,8,1
microscope_physio,Microscope photos,5,28C,tissue_over_wound,Tissue cover,Tissue over wound,1,Wound covering,Covering,Microscope: Tissue cover,8,8,1
microscope_physio,Microscope photos,6,28C,tissue_over_wound,Tissue cover,Tissue over wound,1,Wound covering,Covering,Microscope: Tissue cover,8,8,1
microscope_physio,Microscope photos,7,28C,tissue_over_wound,Tissue cover,Tissue over wound,1,Wound covering,Covering,Microscope: Tissue cover,8,8,1
microscope_physio,Microscope photos,8,28C,tissue_over_wound,Tissue cover,Tissue over wound,1,Wound covering,Covering,Microscope: Tissue cover,8,8,1
microscope_physio,Microscope photos,9,28C,tissue_over_wound,Tissue cover,Tissue over wound,1,Wound covering,Covering,Microscope: Tissue cover,8,8,1
microscope_physio,Microscope photos,10,28C,tissue_over_wound,Tissue cover,Tissue over wound,1,Wound covering,Covering,Microscope: Tissue cover,8,8,1
microscope_physio,Microscope photos,11,28C,tissue_over_wound,Tissue cover,Tissue over wound,1,Wound covering,Covering,Microscope: Tissue cover,8,8,1
microscope_physio,Microscope photos,12,28C,tissue_over_wound,Tissue cover,Tissue over wound,1,Wound covering,Covering,Microscope: Tissue cover,8,8,1
