model,class,diagnostic_figure,result_figure,status
12c_morph_hole_in_center_blme,bglmerMod,G_12c_morph_hole_in_center_blme_dharma.png,figures/04_morphology_trajectories.pdf / figures/14_morphology_KM.pdf,covered (existing)
12c_morph_new_corallites_on_tip_blme,bglmerMod,G_12c_morph_new_corallites_on_tip_blme_dharma.png,figures/04_morphology_trajectories.pdf / figures/14_morphology_KM.pdf,covered (existing)
12c_morph_pigment_over_wound_blme,bglmerMod,G_12c_morph_pigment_over_wound_blme_dharma.png,figures/04_morphology_trajectories.pdf / figures/14_morphology_KM.pdf,covered (existing)
12c_morph_polyps_out_blme,bglmerMod,G_12c_morph_polyps_out_blme_dharma.png,figures/04_morphology_trajectories.pdf / figures/14_morphology_KM.pdf,covered (existing)
12c_morph_tip_exist_blme,bglmerMod,G_12c_morph_tip_exist_blme_dharma.png,figures/04_morphology_trajectories.pdf / figures/14_morphology_KM.pdf,covered (existing)
12c_morph_tip_extension_blme,bglmerMod,G_12c_morph_tip_extension_blme_dharma.png,figures/04_morphology_trajectories.pdf / figures/14_morphology_KM.pdf,covered (existing)
12c_morph_wound_smoothed_blme,bglmerMod,G_12c_morph_wound_smoothed_blme_dharma.png,figures/04_morphology_trajectories.pdf / figures/14_morphology_KM.pdf,covered (existing)
brglm_new_corallites_by_growth_all_wounded,brglmFit,brglm_new_corallites_by_growth_all_wounded_brglm_dharma.png,figures/35_tradeoff_summary.pdf / output/tables/37_tradeoff_main_results.csv,covered (37 trade-off diagnostics; 1 flagged check)
brglm_new_corallites_by_growth_heated_wounded,brglmFit,brglm_new_corallites_by_growth_heated_wounded_brglm_dharma.png,figures/35_tradeoff_summary.pdf / output/tables/37_tradeoff_main_results.csv,covered (37 trade-off diagnostics)
brglm_tip_extension_by_growth_all_wounded,brglmFit,brglm_tip_extension_by_growth_all_wounded_brglm_dharma.png,figures/35_tradeoff_summary.pdf / output/tables/37_tradeoff_main_results.csv,covered (37 trade-off diagnostics)
