id,treatment,tank,thicket,first_scored_day,last_scored_day,event,first_yes_day,stage_order,phase,stage,dataset,dataset_label,trait,measurement_note,event_status,plot_day,stage_label
9,28C,6,c,0,15,TRUE,1,1,Healing,Coenosarc barrier re-established,microscope_physio,Microscope photos,tissue_over_wound,microscope-only coenosarc/tissue-cover score,Reached,1,Healing: Coenosarc barrier re-established
10,28C,6,a,0,15,TRUE,1,1,Healing,Coenosarc barrier re-established,microscope_physio,Microscope photos,tissue_over_wound,microscope-only coenosarc/tissue-cover score,Reached,1,Healing: Coenosarc barrier re-established
11,28C,6,a,0,15,TRUE,1,1,Healing,Coenosarc barrier re-established,microscope_physio,Microscope photos,tissue_over_wound,microscope-only coenosarc/tissue-cover score,Reached,1,Healing: Coenosarc barrier re-established
12,28C,9,a,0,15,TRUE,1,1,Healing,Coenosarc barrier re-established,microscope_physio,Microscope photos,tissue_over_wound,microscope-only coenosarc/tissue-cover score,Reached,1,Healing: Coenosarc barrier re-established
13,28C,9,a,0,15,TRUE,1,1,Healing,Coenosarc barrier re-established,microscope_physio,Microscope photos,tissue_over_wound,microscope-only coenosarc/tissue-cover score,Reached,1,Healing: Coenosarc barrier re-established
14,28C,6,c,0,15,TRUE,1,1,Healing,Coenosarc barrier re-established,microscope_physio,Microscope photos,tissue_over_wound,microscope-only coenosarc/tissue-cover score,Reached,1,Healing: Coenosarc barrier re-established
15,28C,9,c,0,15,TRUE,1,1,Healing,Coenosarc barrier re-established,microscope_physio,Microscope photos,tissue_over_wound,microscope-only coenosarc/tissue-cover score,Reached,1,Healing: Coenosarc barrier re-established
16,28C,9,c,0,15,TRUE,1,1,Healing,Coenosarc barrier re-established,microscope_physio,Microscope photos,tissue_over_wound,microscope-only coenosarc/tissue-cover score,Reached,1,Healing: Coenosarc barrier re-established
1,31C,4,a,0,15,TRUE,1,1,Healing,Coenosarc barrier re-established,microscope_physio,Microscope photos,tissue_over_wound,microscope-only coenosarc/tissue-cover score,Reached,1,Healing: Coenosarc barrier re-established
2,31C,4,a,0,15,TRUE,1,1,Healing,Coenosarc barrier re-established,microscope_physio,Microscope photos,tissue_over_wound,microscope-only coenosarc/tissue-cover score,Reached,1,Healing: Coenosarc barrier re-established
3,31C,5,a,0,15,TRUE,1,1,Healing,Coenosarc barrier re-established,microscope_physio,Microscope photos,tissue_over_wound,microscope-only coenosarc/tissue-cover score,Reached,1,Healing: Coenosarc barrier re-established
4,31C,5,a,0,15,TRUE,1,1,Healing,Coenosarc barrier re-established,microscope_physio,Microscope photos,tissue_over_wound,microscope-only coenosarc/tissue-cover score,Reached,1,Healing: Coenosarc barrier re-established
5,31C,4,c,0,15,TRUE,2,1,Healing,Coenosarc barrier re-established,microscope_physio,Microscope photos,tissue_over_wound,microscope-only coenosarc/tissue-cover score,Reached,2,Healing: Coenosarc barrier re-established
6,31C,4,c,0,15,TRUE,1,1,Healing,Coenosarc barrier re-established,microscope_physio,Microscope photos,tissue_over_wound,microscope-only coenosarc/tissue-cover score,Reached,1,Healing: Coenosarc barrier re-established
7,31C,5,c,0,15,TRUE,2,1,Healing,Coenosarc barrier re-established,microscope_physio,Microscope photos,tissue_over_wound,microscope-only coenosarc/tissue-cover score,Reached,2,Healing: Coenosarc barrier re-established
8,31C,5,c,0,15,TRUE,1,1,Healing,Coenosarc barrier re-established,microscope_physio,Microscope photos,tissue_over_wound,microscope-only coenosarc/tissue-cover score,Reached,1,Healing: Coenosarc barrier re-established
113,28C,3,d,0,15,TRUE,3,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,3,Regeneration: Axial polyp forms
117,28C,6,c,0,15,TRUE,4,2,Regeneration,Axial polyp forms,physio_morphology,Main morphology,axial_polyp_formation,gross-photo central axial-polyp/hole score,Reached,4,Regeneration: Axial polyp forms
