model,event_label,treatment,day_end,event,n_intervals
cloglog_transition_wound_smoothed_growth,wound smoothing,28C,1,0,12
cloglog_transition_wound_smoothed_growth,wound smoothing,28C,2,0,12
cloglog_transition_wound_smoothed_growth,wound smoothing,28C,3,0,12
cloglog_transition_wound_smoothed_growth,wound smoothing,28C,4,0,4
cloglog_transition_wound_smoothed_growth,wound smoothing,28C,4,1,8
cloglog_transition_wound_smoothed_growth,wound smoothing,28C,5,0,4
cloglog_transition_wound_smoothed_growth,wound smoothing,28C,6,1,4
cloglog_transition_wound_smoothed_growth,wound smoothing,31C,1,0,12
cloglog_transition_wound_smoothed_growth,wound smoothing,31C,2,0,12
cloglog_transition_wound_smoothed_growth,wound smoothing,31C,3,0,12
cloglog_transition_wound_smoothed_growth,wound smoothing,31C,4,0,1
cloglog_transition_wound_smoothed_growth,wound smoothing,31C,4,1,11
cloglog_transition_wound_smoothed_growth,wound smoothing,31C,5,0,1
cloglog_transition_wound_smoothed_growth,wound smoothing,31C,6,1,1
cloglog_transition_tip_extension_growth,tip extension,28C,1,0,12
cloglog_transition_tip_extension_growth,tip extension,28C,2,0,12
cloglog_transition_tip_extension_growth,tip extension,28C,3,0,12
cloglog_transition_tip_extension_growth,tip extension,28C,4,0,12
cloglog_transition_tip_extension_growth,tip extension,28C,5,0,12
cloglog_transition_tip_extension_growth,tip extension,28C,6,0,12
cloglog_transition_tip_extension_growth,tip extension,28C,7,0,12
cloglog_transition_tip_extension_growth,tip extension,28C,8,0,1
cloglog_transition_tip_extension_growth,tip extension,28C,8,1,11
cloglog_transition_tip_extension_growth,tip extension,28C,9,0,1
cloglog_transition_tip_extension_growth,tip extension,28C,10,0,1
cloglog_transition_tip_extension_growth,tip extension,28C,11,0,1
cloglog_transition_tip_extension_growth,tip extension,28C,12,0,1
cloglog_transition_tip_extension_growth,tip extension,28C,13,0,1
cloglog_transition_tip_extension_growth,tip extension,28C,14,0,1
cloglog_transition_tip_extension_growth,tip extension,28C,15,0,1
cloglog_transition_tip_extension_growth,tip extension,31C,1,0,12
cloglog_transition_tip_extension_growth,tip extension,31C,2,0,12
cloglog_transition_tip_extension_growth,tip extension,31C,3,0,12
cloglog_transition_tip_extension_growth,tip extension,31C,4,0,12
cloglog_transition_tip_extension_growth,tip extension,31C,5,0,12
cloglog_transition_tip_extension_growth,tip extension,31C,6,0,12
cloglog_transition_tip_extension_growth,tip extension,31C,7,0,12
cloglog_transition_tip_extension_growth,tip extension,31C,8,0,4
cloglog_transition_tip_extension_growth,tip extension,31C,8,1,8
cloglog_transition_tip_extension_growth,tip extension,31C,9,0,4
cloglog_transition_tip_extension_growth,tip extension,31C,10,0,3
cloglog_transition_tip_extension_growth,tip extension,31C,10,1,1
cloglog_transition_tip_extension_growth,tip extension,31C,11,0,3
cloglog_transition_tip_extension_growth,tip extension,31C,12,0,3
cloglog_transition_tip_extension_growth,tip extension,31C,13,0,3
cloglog_transition_tip_extension_growth,tip extension,31C,14,0,2
cloglog_transition_tip_extension_growth,tip extension,31C,14,1,1
cloglog_transition_tip_extension_growth,tip extension,31C,15,0,1
cloglog_transition_tip_extension_growth,tip extension,31C,15,1,1
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,1,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,2,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,3,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,4,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,5,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,6,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,7,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,8,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,9,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,10,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,11,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,12,0,3
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,12,1,9
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,13,0,3
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,14,0,1
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,14,1,2
cloglog_transition_new_corallites_on_tip_growth,new corallites,28C,15,1,1
cloglog_transition_new_corallites_on_tip_growth,new corallites,31C,1,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,31C,2,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,31C,3,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,31C,4,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,31C,5,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,31C,6,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,31C,7,0,12
cloglog_transition_new_corallites_on_tip_growth,new corallites,31C,8,0,12
