stage_order,treatment,n_total,n_reached,mean_day,q25,q75,stage,coverage,row,count_label
1,28C,8,8,1,1,1,Living tissue covers wound,All fragments,6.14,8/8
1,31C,8,8,1.25,1,1.25,Living tissue covers wound,All fragments,5.86,8/8
2,28C,12,12,4.083333333333333,3,4,Main polyp forms,All fragments,5.14,12/12
2,31C,12,12,3.75,3,4,Main polyp forms,All fragments,4.86,12/12
3,28C,12,12,4.666666666666667,4,6,Wound surface remodels,All fragments,4.14,12/12
3,31C,12,12,4.166666666666667,4,4,Wound surface remodels,All fragments,3.86,12/12
4,28C,12,12,6.5,6,6.5,Tip forms,All fragments,3.14,12/12
4,31C,12,12,6.833333333333333,6,8,Tip forms,All fragments,2.86,12/12
5,28C,12,11,8,8,8,Tip extends,Reachers only,2.14,11/12
5,31C,12,11,9.363636363636363,8,9,Tip extends,Reachers only,1.8599999999999999,11/12
6,28C,12,12,12.583333333333334,12,12.5,New skeletal cups bud,All fragments,1.1400000000000001,12/12
6,31C,12,4,13.5,13.5,14,New skeletal cups bud,Reachers only,0.86,4/12
