id,treatment,tank,thicket,day,tip_exist,tip_extension,new_corallites_on_tip,notes
115,31C,5,c,0,0,0,0,NA
115,31C,5,c,1,0,0,0,NA
115,31C,5,c,2,0,0,0,NA
115,31C,5,c,3,0,0,0,checked and treated for AEF by pipette
115,31C,5,c,4,0,0,0,checked and treated for AEF by chemical treatment
115,31C,5,c,5,0,0,0,NA
115,31C,5,c,6,0,0,0,NA
115,31C,5,c,7,0,0,0,NA
115,31C,5,c,8,1,0,0,checked for worms by pipette
115,31C,5,c,9,1,0,0,NA
115,31C,5,c,10,1,0,0,NA
115,31C,5,c,11,1,0,0,NA
115,31C,5,c,12,1,0,0,NA
115,31C,5,c,13,1,0,0,NA
115,31C,5,c,14,1,0,1,NA
115,31C,5,c,15,1,1,1,NA
121,28C,9,c,0,0,0,0,NA
121,28C,9,c,1,0,0,0,NA
121,28C,9,c,2,0,0,0,NA
121,28C,9,c,3,0,0,0,checked and treated for AEF by pipette
121,28C,9,c,4,0,0,0,checked and treated for AEF by chemical treatment
121,28C,9,c,5,0,0,0,NA
121,28C,9,c,6,0,0,0,NA
121,28C,9,c,7,0,0,0,NA
121,28C,9,c,8,1,0,0,checked for worms by pipette
121,28C,9,c,9,0,0,0,NA
121,28C,9,c,10,0,0,0,NA
121,28C,9,c,11,0,0,0,NA
121,28C,9,c,12,0,0,0,NA
121,28C,9,c,13,0,0,0,NA
121,28C,9,c,14,0,0,0,NA
121,28C,9,c,15,0,0,1,NA
