stage_order,stage_short,treatment,n,k,p,lo,hi
1,Tissue covers wound,28C,8,8,1,0.6305833524471808,1
1,Tissue covers wound,31C,8,8,1,0.6305833524471808,1
2,Main polyp forms,28C,12,12,1,0.7353515306029489,1
2,Main polyp forms,31C,12,12,1,0.7353515306029489,1
3,Wound surface remodels,28C,12,12,1,0.7353515306029489,1
3,Wound surface remodels,31C,12,12,1,0.7353515306029489,1
4,Tip forms,28C,12,12,1,0.7353515306029489,1
4,Tip forms,31C,12,12,1,0.7353515306029489,1
5,Tip extends,28C,12,11,0.9166666666666666,0.6152038348490559,0.9978924067681397
5,Tip extends,31C,12,11,0.9166666666666666,0.6152038348490559,0.9978924067681397
6,New skeletal cups bud,28C,12,12,1,0.7353515306029489,1
6,New skeletal cups bud,31C,12,4,0.3333333333333333,0.09924609114958328,0.651124493581186
