id,treatment,tank,thicket,first_tip,tip_positive_days,absent_after_first,terminal_absence,pigment_missing_days
110,31C,10,d,6,"6,7,8,9,10,11,12,13,14,15",,FALSE,9
113,28C,3,d,6,"6,7,8,9,10,11,12,13,14,15",,FALSE,9
115,31C,5,c,8,"8,9,10,11,12,13,14,15",,FALSE,9
116,31C,11,c,6,"6,7,8,10,11,12,13,14,15",9,FALSE,9
117,28C,6,c,8,"8,9,10,11,12,13,14,15",,FALSE,9
118,28C,9,d,6,"6,7,8,9,10,11,12,13,14,15",,FALSE,9
119,31C,10,c,8,"8,9,10,11,12,13,14,15",,FALSE,9
121,28C,9,c,8,8,"9,10,11,12,13,14,15",TRUE,9
126,31C,5,d,6,"6,7,8,9,10,11,12,13,14,15",,FALSE,9
129,28C,3,c,6,"6,7,8,9,10,11,12,13,14,15",,FALSE,9
130,28C,12,c,8,"8,9,10,11,12,13,14,15",,FALSE,9
133,31C,4,c,6,"6,7,8,9,10,11,12,13,14,15",,FALSE,9
143,31C,4,d,8,8,"9,10,11,12,13,14,15",TRUE,9
144,28C,12,d,6,"6,7,8,9,10,11,12,13,14,15",,FALSE,9
146,28C,6,d,6,"6,7,8,9,10,11,12,13,14,15",,FALSE,9
149,31C,11,d,6,"6,7,8,9,10,11,12,13,14,15",,FALSE,9
152,31C,4,a,6,"6,7,8,9,10,11,12,13,14,15",,FALSE,9
166,28C,9,a,6,"6,7,8,9,10,11,12,13,14,15",,FALSE,9
170,31C,5,a,6,"6,7,8,9,10,11,12,13,14,15",,FALSE,9
172,28C,3,a,6,"6,7,8,9,10,11,12,13,14,15",,FALSE,
174,31C,11,a,8,"8,9,10,11,12,13,14,15",,FALSE,9
175,31C,10,a,8,"8,9,10,11,12,13,14,15",,FALSE,9
177,28C,12,a,6,"6,7,8,9,10,11,12,13,14,15",,FALSE,9
179,28C,6,a,6,"6,7,8,9,10,11,12,13,14,15",,FALSE,9
