contrast,wound,day_f,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,p_holm
31C - 28C,no,0,-0.004024137789610219,0.014885394408899804,145.8742317334299,-0.033443034306506046,0.025394758727285607,-0.27034136140888776,0.7872797515600893,1
31C - 28C,yes,0,-6.987462486425034e-4,0.015494258477926924,157.80388307605668,-0.03130162685382953,0.029904134356544522,-0.04509710804411423,0.9640869235391024,1
31C - 28C,no,3,-0.0127805480460205,0.014885394408899803,145.8742317334299,-0.04219944456291632,0.016638348470875322,-0.8585965339540591,0.3919717713478533,1
31C - 28C,yes,3,-0.03210026140015763,0.015494258477926922,157.80388307605668,-0.06270314200534464,-0.0014973807949706062,-2.071752026461129,0.0399159122420115,0.4390750346621265
31C - 28C,no,6,-0.017633112148584564,0.014885394408899804,145.8742317334299,-0.047052008665480385,0.01178578436831126,-1.1845915307451935,0.2381054253438291,1
31C - 28C,yes,6,-0.00793359473349094,0.015494258477926924,157.80388307605668,-0.03853647533867796,0.022669285871696084,-0.5120344897300582,0.6093427153576352,1
31C - 28C,no,9,0.008039964774492361,0.014885394408899804,145.8742317334299,-0.021378931742403462,0.03745886129138819,0.5401244034007833,0.5899348837188261,1
31C - 28C,yes,9,0.02178610223620602,0.015494258477926924,157.80388307605668,-0.008816778368981003,0.052388982841393046,1.4060758226824757,0.16166762647068414,1
31C - 28C,no,12,0.01625791349244106,0.014885394408899804,145.8742317334299,-0.013160983024454766,0.045676810009336884,1.0922057586005676,0.27654322428856404,1
31C - 28C,yes,12,-0.017244200794097005,0.015494258477926924,157.80388307605668,-0.04784708139928403,0.01335867981109002,-1.1129413400882038,0.2674260961119292,1
31C - 28C,no,14,-0.03878054804602046,0.014885394408899801,145.8742317334299,-0.06819944456291628,-0.009361651529124645,-2.6052751429168737,0.010131266548729525,0.1215751985847543
31C - 28C,yes,14,-0.020585109885006097,0.01549425847792692,157.80388307605494,-0.05118799049019311,0.01001777072018092,-1.3285637330971076,0.18590998504606052,1
